Table S2. Genes that responded to Pou5f1 suppression in ZHBTc4 ES cells,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Features of OCT4/NANOG binding site,,,,,,,,,,,,
Z00015753-1,Tm7sf3,41.9,-0.211,1.625,1,10.255,0,0,473,1,0,0,4,3.4299,-0.29,-0.347767732,0.4344,0,0,Tm7sf3,transmembrane 7 superfamily member 3
Z00017703-1,Cdc23,102.2,-0.211,1.625,0,10.269,0,0,-50068,0,0,0,2,1.2079,0,0,0.6211,0,0,Cdc23,"CDC23 (cell division cycle 23, yeast, homolog)"
Z00018117-1,Cirbp,57.03,-0.211,1.625,1,7.059,0,0,0,0,0,0,0,0,0,0,1,0,0,Cirbp,cold inducible RNA binding protein
Z00020919-1,Mapk8ip1,54.06,-0.211,1.625,0,16.035,0,0,5956,0,0,2,1,3,0,0,0.5048,0,0,Mapk8ip1,mitogen activated protein kinase 8 interacting protein 1
Z00021978-1,Hao3,37.6,-0.211,1.625,0,5.992,0,0,-99063,0,0,2,0,0.9119,0,0,0.6537,0,0,Hao3,hydroxyacid oxidase (glycolate oxidase) 3
Z00023478-1,St8sia4,5.93,-0.211,1.625,1,2.682,0.0061,0.01553,15,1,0,2,0,1.5197,0,0,0.563,0,0,St8sia4,"ST8 alpha-N-acetyl-neuraminide alpha-2,8-sialyltransferase 4"
Z00025780-1,Smc2,112.64,-0.211,1.625,0,7.552,0,0,-70909,0,1,2,0,0.9836,0,0,0.6533,0,0,Smc2,structural maintenance of chromosomes 2
Z00028135-1,5730419I09Rik,69.59,-0.211,1.625,0,12.814,0,0,1394,0,0,2,1,4.1684,0,0,0.3404,0,0,5730419I09Rik,RIKEN cDNA 5730419I09 gene
Z00034248-1,Cask,91.73,-0.211,1.625,0,7.309,0,0,-82135,0,0,2,0,0.9514,0,0,0.7138,0,1,Cask,calcium/calmodulin-dependent serine protein kinase (MAGUK family)
Z00036024-1,Lsm3,109.79,-0.211,1.625,0,7.309,0,0,-71,1,0,0,2,1.868,0,0,0.5066,0,0,Lsm3,"LSM3 homolog, U6 small nuclear RNA associated (S. cerevisiae)"
Z00036340-1,Marveld1,91.34,-0.211,1.625,0,6.033,0,0,-10713,0,0,4,6,5.6844,0,0,0.2749,0,0,Marveld1,MARVEL (membrane-associating) domain containing 1
Z00041915-1,Atp5j2,101.41,-0.211,1.625,0,6.938,0,0,0,0,0,0,0,0,0,-0.196946361,1,0,0,Atp5j2,"ATP synthase, H+ transporting, mitochondrial F0 complex, subunit f, isoform 2"
Z00056865-1,Tmtc4,74.65,-0.211,1.625,0,6.593,0,0,0,0,0,0,0,0,0,0,1,0,0,Tmtc4,transmembrane and tetratricopeptide repeat containing 4
Z00057519-1,Cyp4f14,19.27,-0.211,1.625,0,5.523,0.0002,0,15205,0,0,2,2,2.9763,0,0,0.5338,0,0,Cyp4f14,"cytochrome P450, family 4, subfamily f, polypeptide 14"
Z00064836-1,Zfp97,17.28,-0.211,1.625,0,6.968,0.00001,0,0,0,0,0,0,0,0,-0.378907283,1,0,1,Zfp97,"Mus musculus zinc finger protein 97 (Zfp97), mRNA"
Z00003936-1,Gpm6b,34.7,-0.21,1.621,1,4.003,0.00009,0.00033,-31848,0,0,0,2,1.3382,0,0,0.4831,0,0,Gpm6b,glycoprotein m6b
Z00006241-1,BC031781,29.32,-0.21,1.621,1,5.862,0,0,4070,0,0,2,1,3.2702,0,0,0.2886,0,0,BC031781,cDNA sequence BC031781
Z00016687-1,Pdk4,64.3,-0.21,1.621,0,18.397,0,0,13608,0,1,2,3,3.5126,0,0,0.3404,0,0,Pdk4,"pyruvate dehydrogenase kinase, isoenzyme 4"
Z00017971-1,Ptcd3,109.42,-0.21,1.621,0,4.073,0.00008,0.00027,0,0,0,0,0,0,0,0,1,0,0,Ptcd3,Pentatricopeptide repeat domain 3
Z00019061-1,Prpf31,104.67,-0.21,1.621,0,7.743,0,0,0,0,0,0,0,0,0,-0.204910651,1,0,0,Prpf31,PRP31 pre-mRNA processing factor 31 homolog (yeast)
Z00022798-1,Pura,20.32,-0.21,1.621,1,5.927,0,0,-26971,0,0,3,15,6.3823,0,-0.388839046,0.319,0,0,Pura,purine rich element binding protein A
Z00023419-1,Rgs13,64.98,-0.21,1.621,0,2.869,0.00346,0.00931,65079,0,0,3,0,1.2876,0,0,0.6023,0,0,Rgs13,regulator of G-protein signaling 13
Z00025804-1,Plk1,114.09,-0.21,1.621,0,7.091,0,0,-128,1,0,2,0,1.5197,0,0,0.5066,0,0,Plk1,polo-like kinase 1 (Drosophila)
Z00030262-1,2410057H14Rik,48.8,-0.21,1.621,0,7.365,0,0,0,0,0,0,0,0,0,0,1,0,0,2410057H14Rik,RIKEN cDNA 2410057H14 gene
Z00030373-1,Cdc73,37.8,-0.21,1.621,0,6.971,0,0,88797,0,0,0,8,2.4929,0,0,0.3776,0,0,Cdc73,"Vcell division cycle 73, Paf1/RNA polymerase II complex component, homolog (S. cerevisiae)"
Z00031154-1,Hsd17b14,23.73,-0.21,1.621,1,8.026,0,0,-440,1,0,0,2,1.868,0,0,0.4443,0,0,Hsd17b14,hydroxysteroid (17-beta) dehydrogenase 14
Z00033337-1,Igh-V11,34.42,-0.21,1.621,0,6.466,0,0,0,0,0,0,0,0,0,0,1,0,0,Igh-V11,immunoglobulin heavy chain (V11 family)
Z00035602-1,Mrps15,111.88,-0.21,1.621,0,6.721,0,0,31563,0,0,2,2,2.5225,0,-0.192509164,0.5066,0,0,Mrps15,mitochondrial ribosomal protein S15
Z00035742-1,Timp1,29.6,-0.21,1.621,1,5.597,0,0,-9396,0,0,0,2,1.7644,0,-0.266049813,0.4394,0,0,Timp1,tissue inhibitor of metalloproteinase 1
Z00046440-1,Nup155,52.62,-0.21,1.621,0,3.066,0.00189,0.00536,53297,0,0,1,2,1.8754,0,0,0.5549,0,0,Nup155,nucleoporin 155
Z00049159-1,1700067C01Rik,21.25,-0.21,1.621,0,2.784,0.02518,0.01182,-12397,0,1,0,2,1.6678,0,0,0.626,0,0,1700067C01Rik,RIKEN cDNA 1700067C01 gene
Z00053216-1,4930434E21Rik,22.44,-0.21,1.621,0,9.471,0,0,15926,1,1,11,3,4.8923,0,0,0.4819,0,0,4930434E21Rik,RIKEN cDNA 4930434E21 gene
Z00056616-1,Arhgef15,21.13,-0.21,1.621,0,5.568,0.00018,0,-2562,0,0,2,0,2.0867,0,0,0.5828,0,0,Arhgef15,Rho guanine nucleotide exchange factor (GEF) 15
Z00056671-1,Atxn7l3,4.4,-0.21,1.621,1,5.548,0,0,-14020,1,0,1,2,1.4969,0,0,0.563,0,0,Atxn7l3,ataxin 7-like 3
Z00062102-1,Orc3l,31.66,-0.21,1.621,0,5.514,0,0,-7942,0,0,0,4,2.8097,0,0,0.4328,0,0,Orc3l,"origin recognition complex, subunit 3-like (S. cerevisiae)"
Z00073021-1,Defcr20,21.16,-0.21,1.621,0,6.063,0.00007,0,0,0,0,0,0,0,0,0,1,0,0,Defcr20,defensin related cryptdin 20
Z00004845-1,Map2k6,103.45,-0.209,1.618,0,6.606,0,0,-31092,0,0,2,1,2.0633,0,-0.211737952,0.5429,0,0,Map2k6,mitogen activated protein kinase kinase 6
Z00005751-1,Dhx8,41.76,-0.209,1.618,1,6.785,0,0,-36161,0,0,1,2,2.0477,0,-0.17718466,0.4852,0,0,Dhx8,DEAH (Asp-Glu-Ala-His) box polypeptide 8
Z00012013-1,Btf3l4,100.14,-0.209,1.618,0,8.64,0,0,-294,1,0,2,2,4.4504,0,0,0.4667,0,0,Btf3l4,basic transcription factor 3-like 4
Z00013931-1,Timm10,108.41,-0.209,1.618,0,7.77,0,0,-738,0,0,0,3,3.7626,0,-0.268346672,0.5066,0,0,Timm10,translocase of inner mitochondrial membrane 10 homolog (yeast)
Z00015593-1,Taf4a,20.1,-0.209,1.618,1,5.174,0,0.00001,-868,0,0,3,2,6.2461,0,-0.210035702,0.319,0,1,Taf4a,"TAF4A RNA polymerase II, TATA box binding protein (TBP)-associated factor"
Z00022677-1,Ccl3,18.88,-0.209,1.618,1,3.218,0.00118,0.00348,12095,0,0,0,2,1.6663,0,0,0.4658,0,0,Ccl3,chemokine (C-C motif) ligand 3
Z00023808-1,Gpr84,20.65,-0.209,1.618,0,5.716,0,0,1195,0,0,2,0,2.4802,0,0,0.5635,0,0,Gpr84,G protein-coupled receptor 84
Z00023899-1,Fabp7,19.67,-0.209,1.618,1,4.643,0.00001,0.00004,5763,0,1,2,0,1.7367,0,0,0.4593,0,0,Fabp7,"fatty acid binding protein 7, brain"
Z00024179-1,Zap70,21.74,-0.209,1.618,1,7.782,0,0,4761,1,0,3,0,1.2656,0,0,0.5413,0,0,Zap70,zeta-chain (TCR) associated protein kinase
Z00024553-1,Mbl1,25.89,-0.209,1.618,0,5.712,0,0,3386,0,0,0,2,2.2233,0,0,0.5383,0,0,Mbl1,mannose binding lectin (A)
Z00025369-1,Moap1,63.56,-0.209,1.618,0,6.979,0,0,710,0,0,2,1,4.4941,0,0,0.3404,0,0,Moap1,modulator of apoptosis 1
Z00026580-1,Alg6,111.85,-0.209,1.618,0,5.215,0,0.00001,-40303,0,1,1,10,4.1502,0,0,0.5066,0,0,Alg6,"asparagine-linked glycosylation 6 homolog (yeast, alpha-1,3,-glucosyltransferase)"
Z00027275-1,Muc16,65.8,-0.209,1.618,0,5.141,0,0.00001,0,0,0,0,0,0,0,0,1,0,0,Muc16,mucin 16
Z00028832-1,5830428M24Rik,5.25,-0.209,1.618,1,4.054,0.00008,0.00028,2188,1,0,0,2,1.3918,0,0,0.5652,0,0,5830428M24Rik,RIKEN cDNA 5830428M24 gene
Z00030539-1,Igj,6.63,-0.209,1.618,1,7.117,0,0,27879,0,0,1,2,2.1719,0,0,0.5428,0,0,Igj,immunoglobulin joining chain
Z00031351-1,E330037M01Rik,74.03,-0.209,1.618,0,3.419,0.00063,0.00194,0,0,0,0,0,0,0,0,1,0,0,E330037M01Rik,RIKEN cDNA E330037M01 gene
Z00032172-1,Gja9,21.44,-0.209,1.618,0,4.162,0.00006,0.0002,7906,0,0,0,2,1.8348,0,0,0.6135,0,0,Gja9,gap junction membrane channel protein alpha 9
Z00033488-1,LOC671320,88.29,-0.209,1.618,0,3.47,0.00053,0.00167,0,0,0,0,0,0,0,0,1,0,0,LOC671320,hypothetical protein LOC671320
Z00034709-1,Ppm1m,44.38,-0.209,1.618,1,13.746,0,0,3732,1,0,2,0,0.8537,0,0,0.7649,0,0,Ppm1m,protein phosphatase 1M
Z00035102-1,Ddhd1,19.33,-0.209,1.618,1,5.316,0,0,-56476,0,0,1,2,1.851,0,0,0.4458,0,0,Ddhd1,DDHD domain containing 1
Z00035710-1,4732474A20Rik,56,-0.209,1.618,1,15.33,0,0,38652,0,0,2,1,1.9641,0,0,0.4865,0,0,4732474A20Rik,RIKEN cDNA 4732474A20 gene
Z00036141-1,Abhd10,110.34,-0.209,1.618,0,3.285,0.00096,0.00286,604,0,0,2,0,2.5823,0,0,0.5066,0,0,Abhd10,abhydrolase domain containing 10
Z00039314-1,Wbp2nl,20.7,-0.209,1.618,0,5.378,0.00025,0,0,0,0,0,0,0,0,0,1,0,0,Wbp2nl,WBP2 N-terminal like
Z00044925-1,Sh3tc1,20.64,-0.209,1.618,0,7.866,0,0,-5197,0,0,3,1,3.5988,0,0,0.5046,0,0,Sh3tc1,SH3 domain and tetratricopeptide repeats 1
Z00051715-1,9230110F15Rik,55.48,-0.209,1.618,0,7.794,0,0,45938,0,0,2,0,1.0852,0,0,0.656,0,0,9230110F15Rik,RIKEN cDNA 9230110F15 gene
Z00056823-1,Gm288,89.18,-0.209,1.618,0,14.982,0,0,0,0,0,0,0,0,0,0,1,0,0,Gm288,"gene model 288, (NCBI)"
Z00057515-1,Pole4,18.78,-0.209,1.618,0,5.716,0.00014,0,40535,0,1,3,14,5.6372,0,-0.242261565,0.3912,0,0,Pole4,"polymerase (DNA-directed), epsilon 4 (p12 subunit)"
Z00062118-1,Jmjd2a,2.52,-0.209,1.618,1,5.547,0,0,-566,0,0,1,3,5.4472,0,0,0.3178,2,1,Jmjd2a,jumonji domain containing 2A
Z00006610-1,Hnrpm,109.86,-0.208,1.614,0,3.918,0.00013,0.00043,0,0,0,0,0,0,-0.298,0,1,0,0,Hnrpm,heterogeneous nuclear ribonucleoprotein M
Z00006719-1,1810013C15Rik,22.57,-0.208,1.614,1,3.964,0.00011,0.00037,-1830,0,0,4,0,3.4521,0,0,0.319,0,0,1810013C15Rik,RIKEN cDNA 1810013C15 gene
Z00022120-1,Bfar,52.28,-0.208,1.614,1,6.429,0,0,13378,0,0,0,2,1.6279,0,0,0.5225,0,0,Bfar,bifunctional apoptosis regulator
Z00023664-1,Apoa5,37.59,-0.208,1.614,0,5.426,0,0,343,0,0,2,0,2.5823,0,0,0.3776,0,0,Apoa5,apolipoprotein A-V
Z00024323-1,Krtap16-5,31.26,-0.208,1.614,1,4.567,0.00001,0.00006,0,0,0,0,0,0,0,0,1,0,0,Krtap16-5,keratin associated protein 16-5
Z00032252-1,Ccdc37,80.31,-0.208,1.614,0,7.626,0,0,-27645,0,0,0,3,1.7741,0,0,0.5629,0,0,Ccdc37,coiled-coil domain containing 37
Z00033198-1,LOC669250,105.03,-0.208,1.614,0,4.905,0,0.00002,0,0,0,0,0,0,0,0,1,0,0,LOC669250,"similar to chaperonin containing TCP1, subunit 3 (gamma)"
Z00035237-1,2310003H01Rik,39.08,-0.208,1.614,0,5.151,0,0.00001,2907,0,0,5,0,3.5669,0,0,0.3225,0,0,2310003H01Rik,RIKEN cDNA 2310003H01 gene
Z00036600-1,Klf9,45.44,-0.208,1.614,1,3.667,0.00028,0.00092,-45945,0,0,0,26,5.9841,0,0,0.2744,2,1,Klf9,Kruppel-like factor 9
Z00048580-1,2410137M14Rik,21.75,-0.208,1.614,0,3.705,0.00512,0.00082,-953,0,0,3,2,6.2461,0,0,0.2904,0,0,2410137M14Rik,RIKEN cDNA 2410137M14 gene
Z00052421-1,1190002J23Rik,22.29,-0.208,1.614,0,7.759,0,0,305,1,0,2,0,1.5197,0,0,0.641,0,0,1190002J23Rik,RIKEN cDNA 1190002J23 gene
Z00064745-1,Tlr12,5.57,-0.208,1.614,1,5.202,0.00035,0.00001,-5060,0,1,2,0,1.7886,0,0,0.563,0,0,Tlr12,"Mus musculus toll-like receptor 12 (Tlr12), mRNA"
Z00072373-1,D630028G08Rik,21.29,-0.208,1.614,0,2.783,0.02521,0.01182,-102280,0,0,2,0,0.9053,0,0,0.8865,0,0,D630028G08Rik,RIKEN cDNA D630028G08 gene
Z00000912-1,Pqbp1,58.83,-0.207,1.61,0,8.432,0,0,0,0,0,0,0,0,0,0,1,0,0,Pqbp1,polyglutamine binding protein 1
Z00004891-1,AI481105,14.01,-0.207,1.61,1,20.448,0,0,3538,0,0,0,5,3.8719,0,0,0.319,0,0,AI481105,expressed sequence AI481105
Z00005081-1,Ksr1,21.83,-0.207,1.61,0,4.187,0.00005,0.00019,-54,0,0,2,0,2.5823,0,0,0.5417,0,0,Ksr1,kinase suppressor of ras 1
Z00005327-1,Lor,23.5,-0.207,1.61,0,10.492,0,0,-3802,0,0,2,0,1.9083,0,0,0.6083,0,0,Lor,loricrin
Z00013376-1,Bysl,56.55,-0.207,1.61,0,10.256,0,0,7033,0,0,2,0,1.6601,0,0,0.559,0,0,Bysl,bystin-like
Z00020793-1,Zyg11b,37.42,-0.207,1.61,1,4.151,0.00006,0.00021,0,0,0,0,0,0,0,0,1,0,0,Zyg11b,zyg-ll homolog B (C. elegans)
Z00022368-1,Serpinb2,99.81,-0.207,1.61,0,3.802,0.00018,0.00061,4263,0,0,2,0,1.8594,0,0,0.5429,0,0,Serpinb2,"serine (or cysteine) peptidase inhibitor, clade B, member 2"
Z00022922-1,Wnt10a,102.95,-0.207,1.61,0,10.94,0,0,33730,0,0,2,3,2.8598,0,0,0.4773,0,0,Wnt10a,wingless related MMTV integration site 10a
Z00023470-1,Icam4,101.12,-0.207,1.61,0,9.065,0,0,-361,0,0,3,0,3.3154,0,0,0.4667,0,0,Icam4,"intercellular adhesion molecule 4, Landsteiner-Wiener blood group"
Z00027986-1,4932412D23Rik,36.15,-0.207,1.61,1,3.822,0.00017,0.00058,2056,0,0,0,3,3.1959,0,0,0.4344,0,0,4932412D23Rik,RIKEN cDNA 4932412D23 gene
Z00030721-1,A230056P14Rik,43.47,-0.207,1.61,0,6.569,0,0,0,0,0,0,0,0,0,0,1,0,0,A230056P14Rik,RIKEN cDNA A230056P14 gene
Z00034978-1,Myst1,103.81,-0.207,1.61,0,3.713,0.00024,0.0008,-3868,0,0,2,0,1.9058,0,0,0.5429,0,1,Myst1,MYST histone acetyltransferase 1
Z00035203-1,Parp2,105.09,-0.207,1.61,0,6.203,0,0,272,0,0,0,2,2.9307,0,-0.292535667,0.4667,0,0,Parp2,"poly (ADP-ribose) polymerase family, member 2"
Z00035419-1,0610025P10Rik,105.91,-0.207,1.61,0,7.554,0,0,0,0,0,0,0,0,0,-0.223174442,1,0,0,0610025P10Rik,RIKEN cDNA 0610025P10 gene
Z00038032-1,Slc9a9,4.62,-0.207,1.61,1,3.887,0.00372,0.00047,-7357,0,0,9,11,9.485,0,0,0.0778,1,0,Slc9a9,"solute carrier family 9 (sodium/hydrogen exchanger), isoform 9"
Z00038306-1,Trit1,21.75,-0.207,1.61,0,6.146,0.00006,0,-15291,0,0,3,1,2.8184,0,0,0.5417,0,0,Trit1,tRNA isopentenyltransferase 1
Z00040161-1,2610002D18Rik,2.75,-0.207,1.61,1,6.913,0.00002,0,14639,0,0,2,0,1.4061,0,0,0.563,0,0,2610002D18Rik,RIKEN cDNA 2610002D18 gene
Z00055089-1,Fbxw10,16.19,-0.207,1.61,0,5.505,0.0002,0,1820,0,0,2,1,3.9241,0,0,0.4996,0,0,Fbxw10,F-box and WD-40 domain protein 10
Z00057172-1,Zdhhc6,97.15,-0.207,1.61,0,3.179,0.00133,0.00389,43554,0,0,3,3,3.0192,0,0.265736215,0.4667,0,0,Zdhhc6,"zinc finger, DHHC domain containing 6"
Z00072709-1,Rnase12,20.73,-0.207,1.61,0,5.045,0.00047,0.00001,-6979,0,0,2,0,1.663,0,0,0.626,0,0,Rnase12,"ribonuclease, RNase A family, 12 (non-active)"
Z00004328-1,Aprin,62.54,-0.206,1.606,0,5.968,0,0,-4062,0,0,1,2,3.3598,0,0,0.3467,0,0,Aprin,androgen-induced proliferation inhibitor
Z00020442-1,Cpe,90.95,-0.206,1.606,0,10.333,0,0,60586,0,0,0,7,2.5037,-1.383,-0.460808906,0.4968,0,0,Cpe,carboxypeptidase E
Z00020781-1,Gnao1,5.44,-0.206,1.606,1,2.786,0.00446,0.01172,22188,0,0,0,3,1.8647,0,0,0.563,0,0,Gnao1,"guanine nucleotide binding protein, alpha o"
Z00021054-1,A530017D24Rik,59.83,-0.206,1.606,1,3.641,0.00031,0.00099,0,0,0,0,0,0,0,0,1,0,0,A530017D24Rik,RIKEN cDNA A530017D24 gene
Z00021156-1,1110002N22Rik,27.94,-0.206,1.606,1,5.05,0,0.00001,9877,0,0,1,16,7.2872,0,-0.25488154,0.0753,1,0,1110002N22Rik,RIKEN cDNA 1110002N22 gene
Z00022828-1,Ndufb3,102.96,-0.206,1.606,0,4.683,0.00001,0.00004,-145,1,0,5,0,3.4795,0,0,0.4667,0,0,Ndufb3,NADH dehydrogenase (ubiquinone) 1 beta subcomplex 3
Z00022860-1,Mrps16,108.8,-0.206,1.606,0,4.67,0.00001,0.00004,139,1,0,2,0,1.5197,0,0,0.5066,0,0,Mrps16,mitochondrial ribosomal protein S16
Z00023509-1,B3gnt3,30.96,-0.206,1.606,0,7.703,0,0,7445,1,0,0,2,0.7973,0,0,0.7835,0,0,B3gnt3,"UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 3"
Z00023518-1,Pyy,49.06,-0.206,1.606,0,4.948,0,0.00002,-4708,0,0,2,0,1.8181,0,0,0.5574,0,0,Pyy,peptide YY
Z00023883-1,Scn11a,54.27,-0.206,1.606,0,4.851,0.00001,0.00002,7595,0,0,0,2,1.8515,0,0,0.5549,0,0,Scn11a,"sodium channel, voltage-gated, type XI, alpha"
Z00025320-1,Serpind1,22.67,-0.206,1.606,1,3.781,0.0002,0.00065,-921,0,0,4,0,3.9585,0,0,0.319,0,0,Serpind1,"serine (or cysteine) peptidase inhibitor, clade D, member 1"
Z00026025-1,1500011K16Rik,92.5,-0.206,1.606,0,4.917,0,0.00002,-8825,0,0,2,0,1.5769,0,-0.409883782,0.5963,0,0,1500011K16Rik,RIKEN cDNA 1500011K16 gene
Z00026930-1,Gimap4,99.91,-0.206,1.606,0,3.78,0.0002,0.00066,0,0,0,0,0,0,0,0,1,0,0,Gimap4,"GTPase, IMAP family member 4"
Z00027008-1,Ear11,77.86,-0.206,1.606,1,2.859,0.00357,0.00957,8133,0,0,0,3,2.3406,0,0,0.4677,0,0,Ear11,"eosinophil-associated, ribonuclease A family, member 11"
Z00027185-1,Als2cr4,108.47,-0.206,1.606,0,15.24,0,0,8785,1,0,0,2,0.724,0,0,0.7794,0,0,Als2cr4,"amyotrophic lateral sclerosis 2 (juvenile) chromosome region, candidate 4"
Z00027393-1,1700030C10Rik,48.41,-0.206,1.606,0,8.935,0,0,0,0,0,0,0,0,0,0,1,0,0,1700030C10Rik,RIKEN cDNA 1700030C10 gene
Z00033269-1,LOC433474,39.24,-0.206,1.606,1,4.957,0,0.00002,9101,0,0,3,0,2.0105,0,0,0.4852,0,0,LOC433474,"Mus musculus, clone IMAGE:3995220, mRNA"
Z00033281-1,LOC434197,56.99,-0.206,1.606,0,12.803,0,0,-13981,0,0,2,0,1.4208,0,0,0.559,0,0,LOC434197,similar to hypothetical protein FLJ39743
Z00034627-1,Abcf1,41.73,-0.206,1.606,1,3.573,0.00038,0.00122,24557,0,0,3,0,1.6057,0.264,0,0.5454,0,0,Abcf1,"ATP-binding cassette, sub-family F (GCN20), member 1"
Z00038950-1,Lsm6,21.13,-0.206,1.606,0,6.988,0.00001,0,-45564,0,0,1,2,1.9432,0,0,0.6083,0,0,Lsm6,"LSM6 homolog, U6 small nuclear RNA associated (S. cerevisiae)"
Z00048214-1,2310039E09Rik,21.19,-0.206,1.606,0,6.721,0.00002,0,-38543,0,0,1,2,2.0183,0,0,0.5939,0,0,2310039E09Rik,RIKEN cDNA 2310039E09 gene
Z00060295-1,Nras,20.51,-0.206,1.606,1,4.415,0.00002,0.00009,0,0,0,0,0,0,0,0,1,0,0,Nras,neuroblastoma ras oncogene
Z00068175-1,Rps3a,92.35,-0.206,1.606,0,7.596,0,0,6136,0,0,0,2,1.9432,0,0,0.5198,0,0,Rps3a,
Z00002929-1,Hdac4,29.32,-0.205,1.603,1,5.604,0,0,-2432,0,0,0,3,3.0766,0,0,0.2886,0,0,Hdac4,histone deacetylase 4
Z00005076-1,Hand2,21.46,-0.205,1.603,1,6.758,0,0,225,1,0,1,3,4.3846,0,0,0.319,0,1,Hand2,heart and neural crest derivatives expressed transcript 2
Z00005147-1,Rras,22,-0.205,1.603,1,9.548,0,0,18678,0,0,0,2,1.5101,0.323,0.430736084,0.49,0,0,Rras,"Harvey rat sarcoma oncogene, subgroup R"
Z00005627-1,Tspo,5.12,-0.205,1.603,1,20.694,0,0,17858,0,0,2,1,2.3394,0,0,0.5428,0,0,Tspo,translocator protein
Z00007872-1,Mcoln2,5.72,-0.205,1.603,1,5.049,0,0.00001,-15452,0,0,0,2,1.5764,0,0,0.563,0,0,Mcoln2,mucolipin 2
Z00008526-1,Med11,108.73,-0.205,1.603,0,3.638,0.00031,0.001,225,1,0,0,2,1.868,0,0,0.5066,0,0,Med11,"mediator of RNA polymerase II transcription, subunit 11 homolog (S. cerevisiae)"
Z00011447-1,Tfip11,34.85,-0.205,1.603,1,12.893,0,0,201,1,0,2,1,3.4139,0,0,0.2886,0,0,Tfip11,tuftelin interacting protein 11
Z00012314-1,Tpst1,111.02,-0.205,1.603,0,7.646,0,0,4365,0,0,2,0,1.8495,0,-0.238331498,0.5066,0,0,Tpst1,protein-tyrosine sulfotransferase 1
Z00014388-1,Ints12,92.68,-0.205,1.603,0,4.714,0.00001,0.00003,79,1,0,2,0,1.5197,0,0,0.6042,0,0,Ints12,integrator complex subunit 12
Z00014444-1,Papd5,19.93,-0.205,1.603,1,5.281,0,0.00001,0,0,0,0,0,0,0,0,1,0,0,Papd5,PAP associated domain containing 5
Z00018897-1,Pak4,100.23,-0.205,1.603,0,4.381,0.00003,0.0001,-37777,0,0,0,3,1.6529,0,0,0.5504,0,0,Pak4,p21 (CDKN1A)-activated kinase 4
Z00022611-1,Hsd17b11,36.78,-0.205,1.603,1,8.331,0,0,-298,1,0,2,5,6.6746,0,0,0.2363,0,0,Hsd17b11,hydroxysteroid (17-beta) dehydrogenase 11
Z00029983-1,4930458A03Rik,45.18,-0.205,1.603,0,6.255,0,0,-55555,0,0,2,1,1.8091,0,0,0.4167,0,0,4930458A03Rik,RIKEN cDNA 4930458A03 gene
Z00030645-1,1700066M21Rik,82.2,-0.205,1.603,0,4.832,0.00001,0.00002,92706,0,0,3,4,2.799,0,0,0.4939,0,0,1700066M21Rik,RIKEN cDNA 1700066M21 gene
Z00030764-1,Pias2,10.33,-0.205,1.603,1,8.974,0,0,-26772,0,1,3,7,4.587,0,-0.281065762,0.4169,0,0,Pias2,protein inhibitor of activated STAT 2
Z00033817-1,2010309E21Rik,62.69,-0.205,1.603,0,2.95,0.0027,0.00744,56268,0,1,0,2,1.1763,0,0,0.6104,0,0,2010309E21Rik,RIKEN cDNA 2010309E21 gene
Z00033956-1,LOC224552,34.24,-0.205,1.603,1,5.356,0,0,0,0,0,0,0,0,0,0,1,0,0,LOC224552,
Z00034244-1,BC068281,103.57,-0.205,1.603,0,7.872,0,0,-237,1,0,0,2,1.868,0,0,0.5429,0,0,BC068281,cDNA sequence BC068281
Z00034402-1,Evi1,32.77,-0.205,1.603,1,4.19,0.00005,0.00019,1033,0,0,3,0,3.2911,0,0,0.2886,0,0,Evi1,ecotropic viral integration site 1
Z00035337-1,A330044H09,5.11,-0.205,1.603,1,3.518,0.00046,0.00144,0,0,0,0,0,0,0,0,1,0,0,A330044H09,hypothetical protein A330044H09
Z00037640-1,Dnahc6,57.35,-0.205,1.603,0,5.014,0,0.00001,-8581,0,0,2,0,1.5886,0,0,0.559,0,0,Dnahc6,"dynein, axonemal, heavy chain 6"
Z00048792-1,3110001K24Rik,21.71,-0.205,1.603,0,4.309,0.00176,0.00013,6969,0,0,1,2,2.9732,0,0,0.5338,0,0,3110001K24Rik,RIKEN cDNA 3110001K24 gene
Z00050467-1,Gfod1,11.22,-0.205,1.603,0,8.034,0,0,-8127,0,0,0,2,1.8233,0,0,0.465,0,0,Gfod1,glucose-fructose oxidoreductase domain containing 1
Z00051151-1,Ppcs,21.29,-0.205,1.603,0,5.542,0.00019,0,0,0,0,0,0,0,0,0,1,0,0,Ppcs,phosphopantothenoylcysteine synthetase
Z00058906-1,Cxcl13,29.98,-0.205,1.603,1,5.382,0,0,43685,0,0,0,3,1.5994,0,0,0.4394,0,0,Cxcl13,chemokine (C-X-C motif) ligand 13
Z00064784-1,Nsun2,20.05,-0.205,1.603,0,4.379,0.00155,0.0001,0,0,0,0,0,0,-0.233,0,1,0,0,Nsun2,
Z00070182-1,2310007O11Rik,20.81,-0.205,1.603,0,6.651,0.00002,0,0,0,0,0,0,0,0,0,1,0,0,2310007O11Rik,RIKEN cDNA 2310007O11 gene
Z00000501-1,Spnb2,41.25,-0.204,1.599,1,4.039,0.00008,0.0003,25255,0,0,2,6,4.0186,0,0,0.4344,0,0,Spnb2,spectrin beta 2
