"Table S12. Combined tentative target genes (TTGs) of Pou5f1, Sox2, and Nanog",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,Features of OCT4/NANOG binding site,,,,,,Logratio of gene expression in lineage committed cells compared to ES*,,,,,,,,,,,,,,,,,,,,,,,,,,
Etv1,1,1,0,-0.563,-0.277,0,12.65,43.24,NA,-1,1,0,-478,1,0,9,3,9.2054,-0.46686,0.8682,0,-0.3422,Mixed,No,Etv1,ets variant gene 1,,,,,,,,,,,,,,,,,,,
Etv5,1,1,1,-1.334,-0.374,-0.204,9.85,47.72,73.17,-1,3,0,36417,0,1,2,23,6.9813,-0.6245,0,-1.0775,-0.7375,Down-regulated,Yes,Etv5,ets variant gene 5,,,,,,,,,,,,,,,,,,,
F2rl1,0,1,0,0,-0.23,0,NA,21.2,NA,-1,0,0,-1232,0,0,0,7,6.0499,0,-0.568,-0.2521,0,Down-regulated,No,F2rl1,coagulation factor II (thrombin) receptor-like 1,,,,,,,,,,,,,,,,,,,
Fads2,0,0,1,0,0,-0.258,NA,NA,55.66,-1,0,0,-983,0,0,0,2,2.9307,0,0.4686,0.2233,0,Up-regulated,No,Fads2,fatty acid desaturase 2,,,,,,,,,,,,,,,,,,,
Fancm,1,1,0,-0.71,-0.437,0,23.91,48.4,NA,-1,1,0,39964,0,1,2,21,6.5521,0,-0.2287,-0.1864,-0.2333,Down-regulated,Yes,Fancm,"Fanconi anemia, complementation group M",,,,,,,,,,,,,,,,,,,
Fasn,1,0,0,-0.325,0,0,15.93,NA,NA,-1,0,0,5384,0,0,0,10,5.3987,0,0,0,0,No change,No,Fasn,fatty acid synthase,,,,,,,,,,,,,,,,,,,
Fat1,1,0,1,0.202,0,0.276844403,70.79,NA,NA,1,1,0,-94041,1,0,32,18,4.1396,0,-0.2018,-0.188,0.4488,Mixed,No,Fat1,FAT tumor suppressor homolog 1 (Drosophila),,,,,,,,,,,,,,,,,,,
Fblim1,1,1,1,-0.62,-0.633,-0.382,20.39,17.63,55.49,-1,3,0,33301,0,0,5,16,6.8073,-0.1901,-1.0492,-1.1006,-0.1917,Down-regulated,Yes,Fblim1,filamin binding LIM protein 1,,,,,,,,,,,,,,,,,,,
Fbxo15,1,0,0,-0.939,0,0,25.03,NA,NA,-1,0,0,-22841,0,0,7,15,7.7464,-0.918,-1.219,-0.937,-1.2679,Down-regulated,Yes,Fbxo15,F-box protein 15,,,,,,,,,,,,,,,,,,,
Fbxo2,0,0,1,0,0,-0.307,NA,NA,42.43,-1,0,0,1322,0,0,2,0,2.4315,0,0,No data,-0.4085,Down-regulated,Yes,Fbxo2,F-box only protein 2,,,,,,,,,,,,,,,,,,,
Fbxo22,0,1,0,-0.293,-0.202,0,11.39,36,NA,-1,1,0,6763,0,0,0,6,3.741,-0.1947,-0.5382,-0.4356,-0.3557,Down-regulated,Yes,Fbxo22,F-box protein 22,,,,,,,,,,,,,,,,,,,
Fbxo5,1,0,0,-0.694,-0.268,0,36.54,82.81,NA,-1,1,0,-752,1,0,4,2,5.8439,-0.2676,-0.5473,-1.3681,-0.4847,Down-regulated,Yes,Fbxo5,F-box protein 5,,,,,,,,,,,,,,,,,,,
Fer1l3,1,0,0,-0.463,0.726,0,10.19,46.25,NA,1,0,1,161173,0,0,5,19,3.3428,1.10113,-0.7288,-0.2256,0.7407,Mixed,No,Fer1l3,"fer-1-like 3, myoferlin (C. elegans)",,,,,,,,,,,,,,,,,,,
Fgd1,1,0,0,-0.612,-0.298,-0.187156851,43.3,71.82,NA,-1,3,0,2568,0,0,3,2,5.051,0,-0.4305,-0.5196,-0.5597,Down-regulated,Yes,Fgd1,"FYVE, RhoGEF and PH domain containing 1",,,,,,,,,,,,,,,,,,,
Fgf17,0,0,1,0,0,-0.350214986,NA,NA,NA,-1,0,0,37,1,0,0,2,1.868,0,0,0,0,No change,No,Fgf17,fibroblast growth factor 17,,,,,,,,,,,,,,,,,,,
Fgf4,0,0,1,-0.178,0,-0.337756137,45.93,NA,45.32,-1,1,0,3274,0,0,2,5,5.9145,0,0,0,0,No change,No,Fgf4,fibroblast growth factor 4,,,,,,,,,,,,,,,,,,,
Fgf5,1,0,1,0.412,0.43,0.28735,7.92,9.53,NA,1,3,0,1695,1,0,1,11,3.3583,-0.6751,-0.7908,0,-0.4173,Down-regulated,No,Fgf5,fibroblast growth factor 5,,,,,,,,,,,,,,,,,,,
Fgfbp1,1,0,1,-0.371,0,1.138124334,18.63,NA,23.19,1,0,1,-1664,0,0,3,12,4.6186,0.50322,-1.6829,-1.204,-1.5899,Mixed,No,Fgfbp1,fibroblast growth factor binding protein 1,,,,,,,,,,,,,,,,,,,
Fgfr1,1,0,0,0.271,0,0,27.75,NA,NA,1,0,0,-286,0,0,3,2,3.4864,0.1943,0.36,0.3052,0.2867,Up-regulated,Yes,Fgfr1,fibroblast growth factor receptor 1,,,,,,,,,,,,,,,,,,,
Fgfr2,1,0,1,0.215,0.246,0.448,18.04,40.06,17.19,1,3,0,-525,0,0,5,14,5.4059,0.94799,-0.595,0,0,Mixed,No,Fgfr2,fibroblast growth factor receptor 2,,,,,,,,,,,,,,,,,,,
Fhod3,0,0,1,0,0,-0.410028261,NA,NA,NA,-1,0,0,160066,0,1,1,11,3.1882,-0.59367,-0.5228,-0.4548,-0.3357,Down-regulated,Yes,Fhod3,formin homology 2 domain containing 3,,,,,,,,,,,,,,,,,,,
Fmr1,0,0,1,-0.325,-0.383,-0.462,41.63,43.88,11.45,-1,3,0,45536,0,0,0,5,2.1873,0,0.2372,0,0,Up-regulated,No,Fmr1,fragile X mental retardation syndrome 1 homolog,,,,,,,,,,,,,,,,,,,
Fnbp1,1,0,0,0.25,0,0,20.26,NA,NA,1,0,0,5094,0,0,1,24,4.2845,0,0,0,0,No change,No,Fnbp1,"Mus musculus formin binding protein 1 (Fnbp1), transcript variant 1, mRNA",,,,,,,,,,,,,,,,,,,
Foxd3,1,1,0,-0.794,-0.544,0,2.35,30.1,NA,-1,1,0,-19914,0,0,4,24,8.894,-0.5487,-0.6332,-0.5488,-0.5864,Down-regulated,Yes,Foxd3,forkhead box D3,,,,,,,,,,,,,,,,,,,
Foxh1,0,0,1,0,0,0.258575796,NA,NA,NA,1,0,0,550,1,0,9,3,3.9944,0,0,0.4547,0,Up-regulated,Yes,Foxh1,forkhead box H1,,,,,,,,,,,,,,,,,,,
Foxp1,0,0,1,0,0,-0.309,NA,NA,45.29,-1,0,0,-376,0,0,0,9,7.4052,0,-0.2443,0,0,Down-regulated,Yes,Foxp1,forkhead box P1,,,,,,,,,,,,,,,,,,,
Frmd4a,0,0,1,0,0,-0.266530393,NA,NA,NA,-1,0,0,-10643,0,0,0,12,5.1751,0,0,0,0,No change,No,Frmd4a,FERM domain containing 4A,,,,,,,,,,,,,,,,,,,
Fry,0,0,1,0,0,-0.259,NA,NA,54.37,-1,0,0,-95,0,0,0,2,2.9307,0,0,No data,0,No change,No,Fry,RIKEN cDNA 9330186A19 gene,,,,,,,,,,,,,,,,,,,
Fubp3,1,0,0,-0.194,0,0,42.69,NA,NA,-1,0,0,-481,1,0,5,10,11.3816,-0.2132,0,0,0,Down-regulated,Yes,Fubp3,far upstream element (FUSE) binding protein 3,,,,,,,,,,,,,,,,,,,
Fut9,1,1,1,-0.245,-0.599,-0.443272509,11.35,18.54,NA,-1,3,0,3426,0,0,2,6,6.3179,-0.43451,0.3738,0,-0.4733,Mixed,No,Fut9,fucosyltransferase 9,,,,,,,,,,,,,,,,,,,
Fxyd6,0,0,1,0,0.263,-0.803449962,NA,31.73,9.43,-1,0,1,-20982,0,0,2,4,3.5508,-0.45429,-0.6103,-0.607,-0.3095,Down-regulated,Yes,Fxyd6,FXYD domain-containing ion transport regulator 6,,,,,,,,,,,,,,,,,,,
Fzd2,0,0,1,0,0.18,0.272533333,NA,61.64,37.2,1,1,0,-277,1,0,3,5,3.4849,-0.2324,0,0,0.3651,Mixed,No,Fzd2,frizzled homolog 2 (Drosophila),,,,,,,,,,,,,,,,,,,
Fzd5,0,0,1,0,0,-0.365750903,NA,NA,45.23,-1,0,0,2753,0,0,10,5,9.634,0,0,0,0,No change,No,Fzd5,frizzled homolog 5 (Drosophila),,,,,,,,,,,,,,,,,,,
Gabarapl2,1,0,0,-0.327,0,0,59.27,NA,NA,-1,0,0,-183,0,0,2,3,6.345,0.23303,0.2509,0.3901,0,Up-regulated,No,Gabarapl2,gamma-aminobutyric acid (GABA-A) receptor-associated protein-like 2,,,,,,,,,,,,,,,,,,,
Gadd45a,1,1,1,-0.525,-0.544,-0.197,35.63,13.1,78.54,-1,3,0,-74548,0,0,6,13,5.3952,-0.529,-0.8174,-0.2944,-0.5916,Down-regulated,Yes,Gadd45a,growth arrest and DNA-damage-inducible 45 alpha,,,,,,,,,,,,,,,,,,,
Gadd45g,1,0,1,0.905,0.422,0.657,10.91,29.43,11.42,1,3,0,-672,1,0,7,2,3.5574,0.31959,0.739,0.7876,0.5129,Up-regulated,Yes,Gadd45g,growth arrest and DNA-damage-inducible 45 gamma,,,,,,,,,,,,,,,,,,,
Gbp2,0,0,1,0,0.492,0.319533333,NA,22.38,NA,1,1,0,29862,0,1,4,10,3.3991,-0.1924,-0.236,0,0,Down-regulated,No,Gbp2,guanylate nucleotide binding protein 2,,,,,,,,,,,,,,,,,,,
Gbx2,0,1,0,-0.283,-0.344,0,18.56,16.68,NA,-1,1,0,-10435,0,0,8,1,4.6916,0,-0.2209,0,-0.3258,Down-regulated,Yes,Gbx2,gastrulation brain homeobox 2,,,,,,,,,,,,,,,,,,,
Gcat,0,0,1,-0.651,0,-0.311496628,44.83,NA,NA,-1,1,0,-837,0,0,2,0,2.5853,0,-0.4097,-0.5883,-0.2969,Down-regulated,Yes,Gcat,glycine C-acetyltransferase (2-amino-3-ketobutyrate-coenzyme A ligase),,,,,,,,,,,,,,,,,,,
Gfpt2,1,1,0,-0.657,-0.458,0,12.63,33.72,NA,-1,1,0,-54505,0,0,1,13,4.4295,-0.96563,-0.5858,-0.7521,-0.3509,Down-regulated,Yes,Gfpt2,glutamine fructose-6-phosphate transaminase 2,,,,,,,,,,,,,,,,,,,
Gja1,1,1,1,-0.465,-0.352,0.193683333,40,26.71,23.48,-1,1,2,-2343,0,0,9,15,13.81,-1.531,-0.4998,0.9972,0,Mixed,No,Gja1,gap junction membrane channel protein alpha 1,,,,,,,,,,,,,,,,,,,
Gja7,1,1,0,-0.644,-0.3,0,9.97,45.71,NA,-1,1,0,-14605,0,0,0,8,3.7804,-0.76096,-0.3676,-0.5007,0,Down-regulated,Yes,Gja7,gap junction membrane channel protein alpha 7,,,,,,,,,,,,,,,,,,,
Gli1,0,0,1,-0.691,-0.397,-0.253,54.45,59.16,39.87,-1,3,0,101,1,0,3,0,2.2527,-0.6468,-1.1223,-0.9964,-1.1409,Down-regulated,Yes,Gli1,GLI-Kruppel family member GLI1,,,,,,,,,,,,,,,,,,,
Gli2,1,0,1,-1.085,0.272,-0.706,15.83,11.96,7.75,-1,1,2,4068,0,0,2,17,9.7989,-0.68932,-0.6496,-0.375,-0.4062,Down-regulated,Yes,Gli2,GLI-Kruppel family member GLI2,,,,,,,,,,,,,,,,,,,
Glo1,1,0,0,-0.428,-0.224,0,37.16,83.96,NA,-1,1,0,-43,1,0,7,1,6.4112,0,0,0,0,No change,No,Glo1,glyoxalase 1,,,,,,,,,,,,,,,,,,,
Glul,0,1,0,-0.593,-0.334,0,18.87,20.74,NA,-1,1,0,179156,0,0,1,14,3.5163,-0.2145,-0.1827,0,-0.528,Down-regulated,Yes,Glul,glutamate-ammonia ligase (glutamine synthetase),,,,,,,,,,,,,,,,,,,
Gm1631,1,0,1,-0.42,0,-0.272316667,12.6,NA,NA,-1,1,0,-1099,0,0,0,8,6.7411,-0.22324,-0.6908,0,-0.752,Down-regulated,Yes,Gm1631,"gene model 1631, (NCBI)",,,,,,,,,,,,,,,,,,,
Gm1967,0,1,0,-0.443,-0.47,-0.288083333,15,20.3,NA,-1,3,0,33001,1,0,3,6,3.0301,-0.672,-0.6046,-0.533,-0.4761,Down-regulated,Yes,Gm1967,"gene model 1967, (NCBI)",,,,,,,,,,,,,,,,,,,
Gngt2,0,0,1,-0.424,0.314,-0.255,19.35,10.2,47.53,-1,1,2,-550,1,0,2,1,3.437,-0.2892,-0.5935,0,-0.1835,Down-regulated,Yes,Gngt2,"guanine nucleotide binding protein (G protein), gamma transducing activity polypeptide 2",,,,,,,,,,,,,,,,,,,
Gnpnat1,1,0,0,-0.655,-0.312,-0.288,8.59,42.8,22.27,-1,3,0,1106,0,0,0,3,3.6686,-0.3777,-0.6173,-0.5748,0,Down-regulated,Yes,Gnpnat1,glucosamine-phosphate N-acetyltransferase 1,,,,,,,,,,,,,,,,,,,
Gpa33,1,0,0,-0.573,-0.251,0,8.44,59.27,NA,-1,1,0,2191,0,0,4,0,3.3225,-0.46246,-0.3782,-0.2481,-0.4158,Down-regulated,Yes,Gpa33,glycoprotein A33 (transmembrane),,,,,,,,,,,,,,,,,,,
Gpc3,0,1,1,0,-0.312,-0.34669155,NA,26.65,NA,-1,1,0,-18838,0,0,1,5,3.5175,-0.37978,0,0,0,Down-regulated,Yes,Gpc3,glypican 3,,,,,,,,,,,,,,,,,,,
Gpc4,1,1,0,0.214,-0.386,0,90.31,29.11,NA,-1,0,1,1094,0,0,1,7,7.8656,-0.3282,-0.5878,-0.2903,0.5636,Mixed,No,Gpc4,glypican 4,,,,,,,,,,,,,,,,,,,
Gpd2,1,0,0,-0.436,-0.207,0,13.16,75.11,NA,-1,1,0,12295,0,0,1,6,4.2019,-0.19292,0.2054,0,0,Mixed,No,Gpd2,"glycerol phosphate dehydrogenase 2, mitochondrial",,,,,,,,,,,,,,,,,,,
Gprc5b,1,0,0,-0.353,0.181,0,27.05,23.86,NA,-1,0,1,5951,0,0,2,6,5.5752,-0.58152,0.53,0.7851,0,Mixed,No,Gprc5b,"G protein-coupled receptor, family C, group 5, member B",,,,,,,,,,,,,,,,,,,
Gprk6,1,0,0,-0.446,-0.284,0,11.31,60.6,NA,-1,1,0,-56,0,0,3,0,3.3055,0,-0.2387,-0.3449,0,Down-regulated,Yes,Gprk6,G protein-coupled receptor kinase 6,,,,,,,,,,,,,,,,,,,
Gpt2,1,0,0,-0.376,0.287,-0.262052451,19.52,34.4,NA,-1,1,2,-51042,0,0,6,14,6.0775,0,0.4232,0.3448,-0.2674,Mixed,No,Gpt2,glutamic pyruvate transaminase (alanine aminotransferase) 2,,,,,,,,,,,,,,,,,,,
Grcc10,0,0,1,0,0.218,-0.268,NA,84.49,44.32,-1,0,1,1118,1,0,4,0,2.7971,0.2007,0.5127,0.5997,0,Up-regulated,No,Grcc10,"gene rich cluster, C10 gene",,,,,,,,,,,,,,,,,,,
Grsf1,1,0,0,-0.195,0,0,39.95,NA,NA,-1,0,0,-3055,0,0,4,7,7.999,0,0,0,0,No change,No,Grsf1,G-rich RNA sequence binding factor 1,,,,,,,,,,,,,,,,,,,
Gsr,1,1,0,-0.717,-0.305,0,21.1,72.95,NA,-1,1,0,1098,0,0,0,8,6.7541,-0.4895,0,0,-0.3661,Down-regulated,Yes,Gsr,glutathione reductase 1,,,,,,,,,,,,,,,,,,,
Gtlf3a,1,0,0,-0.634,0,0,5.25,NA,NA,-1,0,0,8838,0,0,3,5,5.1707,0.2803,-0.2651,-0.3552,0,Mixed,No,Gtlf3a,gene trap locus F3a,,,,,,,,,,,,,,,,,,,
H1f0,0,0,1,0,0,-0.522240262,NA,NA,NA,-1,0,0,-10355,0,0,1,2,2.7181,0.4165,0.5002,0.2893,0,Up-regulated,No,H1f0,"H1 histone family, member 0",,,,,,,,,,,,,,,,,,,
H2afy2,0,0,1,0.194,0,-0.25,22.24,NA,51.54,-1,0,1,87696,0,0,2,4,2.5683,0,0.1929,No data,0,Up-regulated,Yes,H2afy2,"H2A histone family, member Y2",,,,,,,,,,,,,,,,,,,
H2afy3,0,0,1,0.287,0,-0.18,17.98,NA,82.57,1,0,1,2227,0,0,2,1,2.6577,0,0.2366,0,0,Up-regulated,Yes,H2afy3,"H2A histone family, member Y3",,,,,,,,,,,,,,,,,,,
Hck,0,0,1,0,0.354,-0.533,NA,12.68,28.52,-1,0,1,-1328,0,0,0,3,3.5285,-0.66035,-0.525,-0.4947,0,Down-regulated,Yes,Hck,hemopoietic cell kinase,,,,,,,,,,,,,,,,,,,
Hey2,0,1,0,-0.182,-0.257,0,114.86,20.59,NA,-1,1,0,104821,0,0,2,13,4.1388,-0.22605,0,0,0,Down-regulated,Yes,Hey2,hairy/enhancer-of-split related with YRPW motif 2,,,,,,,,,,,,,,,,,,,
Higd2a,1,0,0,0.296,0,0,48.03,NA,NA,1,0,0,11495,0,0,3,3,2.8719,0,0.3643,0.7117,0,Up-regulated,Yes,Higd2a,"HIG1 domain family, member 2A",,,,,,,,,,,,,,,,,,,
Hk2,1,0,0,-0.457,0,0,6.91,NA,NA,-1,0,0,1443,1,0,6,0,3.5921,0,-1.0638,-1.2344,-0.475,Down-regulated,Yes,Hk2,hexokinase 2,,,,,,,,,,,,,,,,,,,
Hltf,0,0,1,-0.365,-0.217,-0.187,16.63,59.86,54.75,-1,3,0,70110,0,0,3,3,2.7155,0,-0.4324,0,-0.3824,Down-regulated,Yes,Hltf,helicase-like transcription factor,,,,,,,,,,,,,,,,,,,
Hmgb2l1,1,0,0,-0.56,-0.363,0.345051237,15.37,44.25,NA,-1,1,2,2533,0,1,3,2,5.0668,0,-0.6515,-0.4473,-0.7737,Down-regulated,Yes,Hmgb2l1,high mobility group box 2-like 1,,,,,,,,,,,,,,,,,,,
Hnrpab,1,0,0,-0.423,-0.314,0,23.08,54.64,NA,-1,1,0,91,1,0,1,3,4.3866,-0.1844,0,0,-0.2774,Down-regulated,Yes,Hnrpab,heterogeneous nuclear ribonucleoprotein A/B,,,,,,,,,,,,,,,,,,,
Hs6st2,0,1,1,0,-0.223,0.573516667,NA,64.9,NA,1,0,1,-2828,0,0,2,7,3.6851,-0.4053,-0.2858,-0.2961,0.7271,Mixed,No,Hs6st2,heparan sulfate 6-O-sulfotransferase 2,,,,,,,,,,,,,,,,,,,
Hsd17b11,0,0,1,-0.205,0,-0.326,36.78,NA,26.26,-1,1,0,-298,1,0,2,5,6.6746,0,0,0.3339,0,Up-regulated,No,Hsd17b11,hydroxysteroid (17-beta) dehydrogenase 11,,,,,,,,,,,,,,,,,,,
Hsf2bp,0,0,1,-0.871,-0.352,-0.328735111,25.17,46.26,63.67,-1,3,0,7204,0,0,0,2,1.8636,-0.64343,-1.1845,-0.7354,-1.2184,Down-regulated,Yes,Hsf2bp,heat shock transcription factor 2 binding protein,,,,,,,,,,,,,,,,,,,
Hsp90aa1,1,0,0,0.334,0,0,49.35,NA,NA,1,0,0,1094,0,0,8,3,4.4469,0,-0.5419,-0.7003,-0.2026,Down-regulated,No,Hsp90aa1,"heat shock protein 90kDa alpha (cytosolic), class A member 1",,,,,,,,,,,,,,,,,,,
Hspa4,1,0,0,-0.318,0,0.21935,2.68,NA,NA,-1,0,1,-10943,0,1,1,7,4.6961,0.2107,-0.1925,-0.5774,-0.3079,Mixed,No,Hspa4,"Mus musculus heat shock protein 4 (Hspa4), mRNA",,,,,,,,,,,,,,,,,,,
Htra1,1,0,1,-0.472,0,-0.211783333,32.28,NA,NA,-1,1,0,2341,0,0,1,4,5.0947,1.2829,-0.7096,0,0,Mixed,No,Htra1,HtrA serine peptidase 1,,,,,,,,,,,,,,,,,,,
I830134H01Rik,1,0,0,-0.334,0.233,0,11.11,5.06,NA,-1,0,1,-86,1,0,1,2,3.5696,No data,No data,No data,No data,No data,No,I830134H01Rik,RIKEN cDNA I830134H01 gene,,,,,,,,,,,,,,,,,,,
Icosl,1,0,1,-0.454,-0.177,-0.190166667,9.11,70.69,NA,-1,3,0,-1327,0,0,4,0,3.7009,0.2309,-0.661,-0.4701,-0.9022,Mixed,No,Icosl,icos ligand,,,,,,,,,,,,,,,,,,,
Ict1,1,0,0,-0.456,-0.184,0,49.59,83.4,NA,-1,1,0,6240,0,0,1,7,5.3023,0,0,0,0,No change,No,Ict1,immature colon carcinoma transcript 1,,,,,,,,,,,,,,,,,,,
Id3,1,0,1,-0.494,0,0.643575459,7.5,NA,NA,1,0,1,3018,0,0,9,21,5.6781,-0.6648,0.4353,0.1799,0.5385,Mixed,No,Id3,inhibitor of DNA binding 3,,,,,,,,,,,,,,,,,,,
Id4,0,1,0,-0.237,-0.296,0,70.01,10.99,NA,-1,1,0,-15726,0,0,3,4,4.1832,0,0.1955,0.7503,0.3689,Up-regulated,No,Id4,inhibitor of DNA binding 4,,,,,,,,,,,,,,,,,,,
Idi1,0,0,1,0,0,-0.852,NA,NA,5.08,-1,0,0,20168,0,0,4,4,4.2841,0,0,0,0,No change,No,Idi1,isopentenyl-diphosphate delta isomerase,,,,,,,,,,,,,,,,,,,
Ier2,1,0,1,-1.105,-0.257,-0.184,15.08,58.66,46.12,-1,3,0,-1254,1,0,1,3,4.132,-0.4011,-0.5293,-0.3773,-0.2004,Down-regulated,Yes,Ier2,immediate early response 2,,,,,,,,,,,,,,,,,,,
Ifitm1,1,1,1,-0.721,-0.467,-0.342316982,24.75,26.71,NA,-1,3,0,-4719,0,0,1,10,6.7035,-0.86103,-0.7804,-0.7995,-0.9329,Down-regulated,Yes,Ifitm1,interferon induced transmembrane protein 1,,,,,,,,,,,,,,,,,,,
Ifitm2,1,1,1,-0.432,-0.266,-0.335597029,36.57,44.63,NA,-1,3,0,-3036,0,0,4,19,12.1902,-0.6176,-0.4402,0,0,Down-regulated,Yes,Ifitm2,interferon induced transmembrane protein 2,,,,,,,,,,,,,,,,,,,
Ifitm7,1,1,0,-0.516,-0.41,0,16.48,31.78,NA,-1,1,0,7863,0,0,2,7,5.5974,-0.8385,-0.7813,-0.3323,-0.1799,Down-regulated,Yes,Ifitm7,interferon induced transmembrane protein 7,,,,,,,,,,,,,,,,,,,
Ift172,1,0,0,-0.372,0.241,0,45.92,30.84,NA,-1,0,1,-1565,0,0,4,1,5.3145,0.1856,0,0.3109,0,Up-regulated,No,Ift172,intraflagellar transport 172 homolog (Chlamydomonas),,,,,,,,,,,,,,,,,,,
Ift52,1,0,0,-0.287,0,0,18.5,NA,NA,-1,0,0,14808,0,0,9,9,7.5657,0,-0.1887,0,-0.2417,Down-regulated,Yes,Ift52,intraflagellar transport 52 homolog (Chlamydomonas),,,,,,,,,,,,,,,,,,,
Igfbp2,1,1,1,-0.258,-0.198,-0.265326634,67.8,64.65,NA,-1,3,0,-31310,0,1,0,29,6.9335,-0.6901,0.4049,-0.8364,-1.1407,Mixed,No,Igfbp2,insulin-like growth factor binding protein 2,,,,,,,,,,,,,,,,,,,
Igsf21,0,0,1,0,0,-0.544,NA,NA,10.14,-1,0,0,-18061,0,0,1,3,2.8283,0,0,0,0,No change,No,Igsf21,cDNA sequence BC055811,,,,,,,,,,,,,,,,,,,
Igsf4a,0,1,0,0,-0.22,0,NA,36.31,NA,-1,0,0,3568,0,0,4,1,4.4009,0,0.3368,0,-0.3226,Mixed,No,Igsf4a,"immunoglobulin superfamily, member 4A",,,,,,,,,,,,,,,,,,,
Igsf9,1,0,0,-0.37,0.207,0.1889,36.69,10.28,NA,1,1,2,-555,0,0,3,3,3.7301,0,-0.5655,-0.5937,-0.5134,Down-regulated,Yes,Igsf9,"immunoglobulin superfamily, member 9",,,,,,,,,,,,,,,,,,,
Il17d,1,0,0,-0.342,-0.213,0,14.75,83.92,NA,-1,1,0,40189,1,0,23,14,8.2074,-0.1877,0.2453,0.4133,0.1782,Mixed,No,Il17d,interleukin 17D,,,,,,,,,,,,,,,,,,,
Il17rd,1,0,1,-0.199,0,-0.215,23.33,NA,40.65,-1,1,0,959,0,0,2,10,10.4844,0,0,0,0,No change,No,Il17rd,interleukin 17 receptor D,,,,,,,,,,,,,,,,,,,
Impa2,1,0,0,-0.712,0,0,35.53,NA,NA,-1,0,0,-29753,0,0,2,17,6.2971,-0.3043,-0.6654,-1.2047,-0.8451,Down-regulated,Yes,Impa2,inositol (myo)-1(or 4)-monophosphatase 2,,,,,,,,,,,,,,,,,,,
Inhbb,0,0,1,-0.896,0.304,-0.897,16.2,7.32,6.3,-1,1,2,115799,0,0,2,12,3.892,-0.26916,0.7606,0.7357,0,Mixed,No,Inhbb,inhibin beta-B,,,,,,,,,,,,,,,,,,,
Ipo8,0,0,1,0,-0.197,-0.26,NA,81.77,56.09,-1,1,0,-10701,0,0,3,0,1.9381,0,0,0,-0.1994,Down-regulated,Yes,Ipo8,importin 8,,,,,,,,,,,,,,,,,,,
Irak3,1,0,0,-0.349,-0.216,0.226867463,15.16,69.96,NA,-1,1,2,29553,0,0,5,5,4.4955,0,0,0,0,No change,No,Irak3,interleukin-1 receptor-associated kinase 3,,,,,,,,,,,,,,,,,,,
Isl2,0,1,0,0,-0.309,0,NA,15.35,NA,-1,0,0,56703,0,0,1,9,3.6423,0.67904,0.3102,0.2395,0.4161,Up-regulated,No,Isl2,"Mus musculus insulin related protein 2 (islet 2) (Isl2), mRNA",,,,,,,,,,,,,,,,,,,
Islr2,1,0,0,-0.361,0,0,18.27,NA,NA,-1,0,0,1024,0,0,2,1,4.4701,0,0,0,0,No change,No,Islr2,immunoglobulin superfamily containing leucine-rich repeat 2,,,,,,,,,,,,,,,,,,,
Itga9,1,0,0,-0.507,0,0,13.9,NA,NA,-1,0,0,1776,1,0,2,9,7.7181,0,0,-0.1815,0.1997,Mixed,No,Itga9,integrin alpha 9,,,,,,,,,,,,,,,,,,,
Itgb7,1,0,0,-0.415,0.18,-0.489,10.97,11.82,33.28,-1,1,2,-8784,0,0,2,2,3.3651,-0.44011,-0.516,0,-0.3486,Down-regulated,Yes,Itgb7,integrin beta 7,,,,,,,,,,,,,,,,,,,
Itpka,1,1,0,-0.524,-0.181,-0.21365333,9.33,46.89,NA,-1,3,0,-11632,0,0,4,4,4.8579,-0.27318,-0.3111,No data,-0.5439,Down-regulated,Yes,Itpka,"inositol 1,4,5-trisphosphate 3-kinase A",,,,,,,,,,,,,,,,,,,
Itpr3,0,0,1,0,0,-0.225,NA,NA,46.79,-1,0,0,1363,0,0,1,2,4.3026,0.34085,-0.7119,-0.2597,0.2492,Mixed,No,Itpr3,"inositol 1,4,5-triphosphate receptor 3",,,,,,,,,,,,,,,,,,,
Jak3,0,0,1,-0.229,0,-0.187,22.78,NA,78.89,-1,1,0,-387,0,0,3,0,3.3154,0,0,0,0,No change,No,Jak3,Janus kinase 3,,,,,,,,,,,,,,,,,,,
Jam2,1,1,1,-1.457,-0.62,-0.3865,7.4,19.59,NA,-1,3,0,-4910,0,0,7,13,10.3183,-1.77904,0.2936,0,-0.309,Mixed,No,Jam2,junction adhesion molecule 2,,,,,,,,,,,,,,,,,,,
Jarid1b,1,1,1,-0.534,-0.318,-0.251,12.55,32.23,38.96,-1,3,0,-24687,0,0,4,38,10.6675,-0.327,-0.7248,-0.607,-0.5378,Down-regulated,Yes,Jarid1b,"jumonji, AT rich interactive domain 1B (Rbp2 like)",,,,,,,,,,,,,,,,,,,
Jarid2,1,1,1,-0.698,-0.357,-0.279,20.3,55.57,52.46,-1,3,0,-24413,0,0,17,21,10.6853,-0.206,-0.6701,-0.6185,-1.1097,Down-regulated,Yes,Jarid2,"jumonji, AT rich interactive domain 2",,,,,,,,,,,,,,,,,,,
Jmjd2c,1,0,0,-0.542,-0.236,0,9.9,66.96,NA,-1,1,0,-6376,0,0,4,5,5.9893,-0.4528,-0.4952,-0.3916,-0.5391,Down-regulated,Yes,Jmjd2c,jumonji domain containing 2C,,,,,,,,,,,,,,,,,,,
